Action,Property Name,Airtable ID,Check-in,Check-out,Entry Type,UID,Source,Status,Last Updated,Has HCP Job
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40915,2025-07-11,2025-07-13,Reservation,815436a4-3459-4abd-a4e4-eecd1d4f12f3_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:56.000Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43993,2025-07-11,2025-07-13,Reservation,ad0c5e7c-973d-4f38-b33f-b8c1731c3fdc_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T19:05:42.973Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43976,2025-07-11,2025-07-13,Reservation,d7d78975-5403-44a1-ba32-e4d16279497c_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T19:05:42.978Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43962,2025-07-11,2025-07-13,Reservation,c0865c81-0f62-4a9c-8afc-546b4d6d8503_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T19:05:42.979Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43938,2025-07-11,2025-07-13,Reservation,d7319986-e0c4-4ce4-b2d1-d8aa423b89c8_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T19:05:42.975Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43913,2025-07-11,2025-07-13,Reservation,657ad954-b05b-40d0-875e-1f5049e79523_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T18:04:25.745Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43890,2025-07-11,2025-07-13,Reservation,bcb3420d-6a5a-4859-82cd-c506b71db431_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T17:04:46.597Z,Yes
DROP,Mayes [] 2824 N 82nd St Scottsdale,43864,2025-07-11,2025-07-13,Reservation,0499c894-0785-45a4-9ca3-67a1066ef343_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-21T16:05:30.506Z,Yes
KEEP,Mayes [] 2824 N 82nd St Scottsdale,40901,2025-06-07,2025-06-08,Reservation,eee0258b-2fa9-42b5-b585-ace414008408_recRQSv5kFaVKAXdj,Lodgify,New,2025-07-18T06:02:53.000Z,No
DROP,Mayes [] 2824 N 82nd St Scottsdale,43984,2025-06-07,2025-06-08,Reservation,bc06a148-02d4-4ac7-b214-666570ea6362_recRQSv5kFaVKAXdj,Lodgify,New,Unknown,No
