Record ID,Action,Reservation UID,Property ID,Check-in Date,Check-out Date,Entry Type,Entry Source,Status,Last Updated,Full Record JSON
rec076IfTCeoemjQK,MARK_AS_OLD,de4ab338-d908-40f5-b3de-23e3892790e6_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-05-30,2025-06-02,Reservation,Lodgify,New,2025-07-17T11:02:42.000Z,"{""id"": ""rec076IfTCeoemjQK"", ""createdTime"": ""2025-07-17T11:02:46.000Z"", ""fields"": {""Check-in Date"": ""2025-05-30"", ""Check-out Date"": ""2025-06-02"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T11:02:42.000Z"", ""Reservation UID"": ""de4ab338-d908-40f5-b3de-23e3892790e6_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
rec2ckEAFzdCdfegS,MARK_AS_OLD,77cb442f-6219-4467-bbc7-3dd8424e0cb8_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-05-30,2025-06-02,Reservation,Lodgify,New,2025-07-17T09:42:13.000Z,"{""id"": ""rec2ckEAFzdCdfegS"", ""createdTime"": ""2025-07-17T09:42:18.000Z"", ""fields"": {""Check-in Date"": ""2025-05-30"", ""Check-out Date"": ""2025-06-02"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:42:13.000Z"", ""Reservation UID"": ""77cb442f-6219-4467-bbc7-3dd8424e0cb8_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
reczi7uZSOxZc4qTY,MARK_AS_OLD,7f662ec65913-7a069585b29abd5694d24584aa5438d6@airbnb.com_recemMGn3KhYJW07M,recemMGn3KhYJW07M,2025-10-10,2025-10-13,Block,Airbnb,New,2025-07-11T19:10:57.000Z,"{""id"": ""reczi7uZSOxZc4qTY"", ""createdTime"": ""2025-07-11T19:11:19.000Z"", ""fields"": {""Check-in Date"": ""2025-10-10"", ""Check-out Date"": ""2025-10-13"", ""Status"": ""New"", ""Last Updated"": ""2025-07-11T19:10:57.000Z"", ""Reservation UID"": ""7f662ec65913-7a069585b29abd5694d24584aa5438d6@airbnb.com_recemMGn3KhYJW07M"", ""Entry Type"": ""Block"", ""Entry Source"": ""Airbnb"", ""Property ID"": [""recemMGn3KhYJW07M""]}}"
recPrrwwsqhRAF8ZU,MARK_AS_OLD,4c23356d-510c-4daa-bead-d45ddab879fc_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-06-28,2025-06-29,Reservation,Lodgify,New,2025-07-17T11:02:45.000Z,"{""id"": ""recPrrwwsqhRAF8ZU"", ""createdTime"": ""2025-07-17T11:02:46.000Z"", ""fields"": {""Check-in Date"": ""2025-06-28"", ""Check-out Date"": ""2025-06-29"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T11:02:45.000Z"", ""Reservation UID"": ""4c23356d-510c-4daa-bead-d45ddab879fc_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
recWjurF8gb6wRZOi,MARK_AS_OLD,c716dfd6-9bc4-4506-8e55-12fa7bfa2c29_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-06-28,2025-06-29,Reservation,Lodgify,New,2025-07-17T09:42:16.000Z,"{""id"": ""recWjurF8gb6wRZOi"", ""createdTime"": ""2025-07-17T09:42:18.000Z"", ""fields"": {""Check-in Date"": ""2025-06-28"", ""Check-out Date"": ""2025-06-29"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:42:16.000Z"", ""Reservation UID"": ""c716dfd6-9bc4-4506-8e55-12fa7bfa2c29_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
recFyBlE9XZMqJsTv,MARK_AS_OLD,7f662ec65913-a931d344dc8b1a18d1dc7115ff069eb0@airbnb.com_recemMGn3KhYJW07M,recemMGn3KhYJW07M,2025-07-13,2025-07-14,Block,Airbnb,New,2025-07-15T03:03:37.000Z,"{""id"": ""recFyBlE9XZMqJsTv"", ""createdTime"": ""2025-07-15T03:03:52.000Z"", ""fields"": {""Check-in Date"": ""2025-07-13"", ""Check-out Date"": ""2025-07-14"", ""Status"": ""New"", ""Last Updated"": ""2025-07-15T03:03:37.000Z"", ""Reservation UID"": ""7f662ec65913-a931d344dc8b1a18d1dc7115ff069eb0@airbnb.com_recemMGn3KhYJW07M"", ""Entry Type"": ""Block"", ""Entry Source"": ""Airbnb"", ""Property ID"": [""recemMGn3KhYJW07M""]}}"
rec76pOok7NXr6s6H,MARK_AS_OLD,a311c953-2f40-467b-a19b-f61906f01473_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-05-22,2025-05-25,Reservation,Lodgify,New,2025-07-17T09:42:13.000Z,"{""id"": ""rec76pOok7NXr6s6H"", ""createdTime"": ""2025-07-17T09:42:18.000Z"", ""fields"": {""Check-in Date"": ""2025-05-22"", ""Check-out Date"": ""2025-05-25"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:42:13.000Z"", ""Reservation UID"": ""a311c953-2f40-467b-a19b-f61906f01473_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
recZLArdIxNPGgIbh,MARK_AS_OLD,55e34f94-284f-4859-b6b2-12a1f83624ab_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-05-22,2025-05-25,Reservation,Lodgify,New,2025-07-17T11:02:41.000Z,"{""id"": ""recZLArdIxNPGgIbh"", ""createdTime"": ""2025-07-17T11:02:46.000Z"", ""fields"": {""Check-in Date"": ""2025-05-22"", ""Check-out Date"": ""2025-05-25"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T11:02:41.000Z"", ""Reservation UID"": ""55e34f94-284f-4859-b6b2-12a1f83624ab_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
recvIp1p14aNTOpTP,MARK_AS_OLD,8d306830-cd38-4616-a72d-b31445ef5634@reservations.hospitable.com_recrVNJMKAhroDwbp,recrVNJMKAhroDwbp,2025-07-17,2025-07-21,Reservation,Hospitable,New,2025-07-11T19:09:16.000Z,"{""id"": ""recvIp1p14aNTOpTP"", ""createdTime"": ""2025-07-11T19:09:20.000Z"", ""fields"": {""Check-in Date"": ""2025-07-17"", ""Check-out Date"": ""2025-07-21"", ""Status"": ""New"", ""Last Updated"": ""2025-07-11T19:09:16.000Z"", ""Reservation UID"": ""8d306830-cd38-4616-a72d-b31445ef5634@reservations.hospitable.com_recrVNJMKAhroDwbp"", ""Entry Type"": ""Reservation"", ""Entry Source"": ""Hospitable"", ""Property ID"": [""recrVNJMKAhroDwbp""]}}"
rec9mEAGFFs3v693W,MARK_AS_OLD,d9ca1a1b-1595-4496-b0cb-f2fa8291820c_recRQSv5kFaVKAXdj,recRQSv5kFaVKAXdj,2025-07-03,2025-07-04,Block,Lodgify,New,2025-07-17T09:42:17.000Z,"{""id"": ""rec9mEAGFFs3v693W"", ""createdTime"": ""2025-07-17T09:42:18.000Z"", ""fields"": {""Check-in Date"": ""2025-07-03"", ""Check-out Date"": ""2025-07-04"", ""Status"": ""New"", ""Last Updated"": ""2025-07-17T09:42:17.000Z"", ""Reservation UID"": ""d9ca1a1b-1595-4496-b0cb-f2fa8291820c_recRQSv5kFaVKAXdj"", ""Entry Type"": ""Block"", ""Entry Source"": ""Lodgify"", ""Property ID"": [""recRQSv5kFaVKAXdj""]}}"
